,,2022,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,2022~2025
,,12月,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,合計
,利益,,-,,,,,,,,,,,,,-,"-¥1,800,560","-¥620,204","¥2,464,055","¥3,469,015","¥4,624,197","¥1,195,622","¥9,332,123","-¥630,684","¥1,166,332","-¥2,217,292","-¥835,615","-¥3,738,157","-¥1,170,732","-¥7,426,146","¥1,905,977","-¥5,537,830","-¥4,024,652","¥13,584,314","¥2,071,592","-¥8,587,896","-¥6,950,741","-¥9,445,213","-¥3,733,823","¥700,000","¥4,040,000","¥5,480,000","¥37,800,000","¥7,880,000","¥52,166,177","¥42,720,965","¥44,626,942"
,利益率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.67%,3.50%,17.57%,21.08%,47.25%,25.42%,16.02%,,
,ROI（利益/コスト）,,-,,,,,,,,,,,,,-,78.07%,81.17%,148.17%,137.89%,160.51%,116.58%,120.40%,93.82%,113.80%,83.49%,91.69%,78.02%,90.52%,91.89%,106.15%,64.75%,76.44%,143.74%,109.12%,74.86%,75.00%,90.65%,84.27%,103.63%,121.31%,126.71%,189.57%,134.08%,126.59%,108.62%,107.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
順当,デザジュク受注売上,"¥17,360,000","¥17,360,000","¥1,510,000","¥704,880",¥0,¥0,¥0,¥0,"¥704,880","¥13,310,000","¥6,020,000","¥16,370,000","¥16,530,000","¥18,260,000","¥73,409,760","¥15,910,000","¥14,740,000","¥7,579,635","¥12,625,123","¥12,265,915","¥8,407,117","¥71,527,790","¥9,580,297","¥9,616,000","¥9,616,000","¥7,897,090","¥11,915,500","¥9,743,000","¥58,367,887","¥129,895,677","¥9,328,000","¥19,152,000","¥54,264,000","¥32,718,000","¥27,930,000","¥23,142,000","¥166,534,000","¥11,970,000",,,,,,"¥11,970,000","¥178,504,000","¥399,169,437"
,デザジュク入金売上,,"¥2,550,000",,,,,,,,,,,,,"¥73,409,760","¥6,411,063","¥2,673,499","¥7,579,635","¥12,625,123","¥12,265,915","¥8,407,117","¥49,962,352","¥9,580,297","¥9,616,000","¥11,216,547","¥9,223,385","¥13,268,665","¥11,175,425","¥64,080,319","¥114,042,671","¥10,174,000","¥13,059,524","¥44,641,100","¥24,786,755","¥25,572,085","¥20,852,455","¥139,085,919","¥18,000,000","¥20,000,000","¥23,000,000","¥26,000,000","¥80,000,000","¥31,000,000","¥198,000,000","¥337,085,919","¥527,088,350"
,デザジュク販管費,,,,,,,,,,,,,,,,"¥3,270,232",¥0,¥0,¥0,¥0,¥0,"¥3,270,232",¥0,¥0,"¥5,186,107","¥3,126,964","¥6,899,664","¥4,113,848","¥19,326,583","¥22,596,815","¥4,551,515","¥4,773,026","¥10,875,710","¥10,317,281","¥15,409,057","¥16,978,270","¥62,904,859","¥9,000,000","¥10,000,000","¥11,500,000","¥13,000,000","¥24,000,000","¥15,500,000","¥83,000,000","¥145,904,859","¥168,501,674"
, L 広告費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥4,348,327","¥2,364,184","¥5,351,314","¥2,968,591","¥15,032,416","¥15,032,416","¥3,341,218","¥3,995,660","¥3,465,055","¥4,996,778","¥7,558,298","¥6,990,226","¥30,347,235",,,,,,,¥0,"¥30,347,235","¥45,379,651"
, L 営業代行費,,,,,,,,,,,,,,,,,,,,,,¥0,,,"¥585,000","¥510,000","¥720,000","¥435,000","¥2,250,000","¥2,250,000","¥410,000","¥470,000","¥1,860,000","¥895,000","¥1,030,000","¥795,000","¥5,460,000",,,,,,,¥0,"¥5,460,000","¥7,710,000"
